date,home_team,away_team,home_goals,away_goals,tournament,neutral
2002-06-25,Germany,South Korea,1,0,World Cup,1
2002-06-26,Brazil,Turkey,1,0,World Cup,1
2002-06-30,Brazil,Germany,2,0,World Cup,1
2006-06-09,Germany,Costa Rica,4,2,World Cup,1
2006-06-10,Argentina,Ivory Coast,2,1,World Cup,1
2006-06-10,England,Paraguay,1,0,World Cup,1
2006-06-10,Netherlands,Serbia and Montenegro,1,0,World Cup,1
2006-06-11,Brazil,Croatia,1,0,World Cup,1
2006-06-11,France,Switzerland,0,0,World Cup,1
2006-06-12,Italy,Ghana,2,0,World Cup,1
2006-06-12,Spain,Ukraine,4,0,World Cup,1
2006-06-13,Portugal,Angola,1,0,World Cup,1
2006-06-24,Germany,Sweden,2,0,World Cup,1
2006-06-24,Argentina,Mexico,2,1,World Cup,1
2006-06-25,England,Ecuador,1,0,World Cup,1
2006-06-25,Portugal,Netherlands,1,0,World Cup,1
2006-06-26,Brazil,Ghana,3,0,World Cup,1
2006-06-26,Spain,France,1,3,World Cup,1
2006-06-27,Italy,Australia,1,0,World Cup,1
2006-06-30,Germany,Argentina,1,1,World Cup,1
2006-06-30,Italy,Ukraine,3,0,World Cup,1
2006-07-01,England,Portugal,0,0,World Cup,1
2006-07-01,Brazil,France,0,1,World Cup,1
2006-07-04,Germany,Italy,0,2,World Cup,1
2006-07-04,Portugal,France,0,1,World Cup,1
2006-07-09,Italy,France,1,1,World Cup,1
2010-06-11,South Africa,Mexico,1,1,World Cup,1
2010-06-11,Uruguay,France,0,0,World Cup,1
2010-06-12,Argentina,Nigeria,1,0,World Cup,1
2010-06-12,England,United States,1,1,World Cup,1
2010-06-13,Germany,Australia,4,0,World Cup,1
2010-06-13,Netherlands,Denmark,2,0,World Cup,1
2010-06-14,Italy,Paraguay,1,1,World Cup,1
2010-06-14,Spain,Switzerland,0,1,World Cup,1
2010-06-15,Brazil,North Korea,2,1,World Cup,1
2010-06-15,Portugal,Ivory Coast,0,0,World Cup,1
2010-06-26,Uruguay,South Korea,2,1,World Cup,1
2010-06-26,United States,Ghana,1,2,World Cup,1
2010-06-27,Germany,England,4,1,World Cup,1
2010-06-27,Argentina,Mexico,3,1,World Cup,1
2010-06-28,Netherlands,Slovakia,2,1,World Cup,1
2010-06-28,Brazil,Chile,3,0,World Cup,1
2010-06-29,Paraguay,Japan,0,0,World Cup,1
2010-06-29,Spain,Portugal,1,0,World Cup,1
2010-07-02,Netherlands,Brazil,2,1,World Cup,1
2010-07-02,Uruguay,Ghana,1,1,World Cup,1
2010-07-03,Argentina,Germany,0,4,World Cup,1
2010-07-03,Paraguay,Spain,0,1,World Cup,1
2010-07-06,Uruguay,Netherlands,2,3,World Cup,1
2010-07-07,Germany,Spain,0,1,World Cup,1
2010-07-11,Netherlands,Spain,0,1,World Cup,1
2014-06-12,Brazil,Croatia,3,1,World Cup,1
2014-06-13,Netherlands,Spain,5,1,World Cup,1
2014-06-13,Mexico,Cameroon,1,0,World Cup,1
2014-06-14,England,Italy,1,2,World Cup,1
2014-06-14,Costa Rica,Uruguay,3,1,World Cup,1
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,World Cup,1
2014-06-15,Germany,Portugal,4,0,World Cup,1
2014-06-16,United States,Ghana,2,1,World Cup,1
2014-06-16,France,Honduras,3,0,World Cup,1
2014-06-28,Brazil,Chile,1,1,World Cup,1
2014-06-28,Colombia,Uruguay,2,0,World Cup,1
2014-06-29,Netherlands,Mexico,2,1,World Cup,1
2014-06-29,Costa Rica,Greece,1,1,World Cup,1
2014-06-30,France,Nigeria,2,0,World Cup,1
2014-06-30,Germany,Algeria,2,1,World Cup,1
2014-07-01,Argentina,Switzerland,1,0,World Cup,1
2014-07-01,Belgium,United States,2,1,World Cup,1
2014-07-04,France,Germany,0,1,World Cup,1
2014-07-04,Brazil,Colombia,2,1,World Cup,1
2014-07-05,Netherlands,Costa Rica,0,0,World Cup,1
2014-07-05,Argentina,Belgium,1,0,World Cup,1
2014-07-08,Brazil,Germany,1,7,World Cup,1
2014-07-09,Netherlands,Argentina,0,0,World Cup,1
2014-07-13,Germany,Argentina,1,0,World Cup,1
2018-06-14,Russia,Saudi Arabia,5,0,World Cup,1
2018-06-15,Egypt,Uruguay,0,1,World Cup,1
2018-06-15,Morocco,Iran,0,1,World Cup,1
2018-06-15,Portugal,Spain,3,3,World Cup,1
2018-06-16,France,Australia,2,1,World Cup,1
2018-06-16,Argentina,Iceland,1,1,World Cup,1
2018-06-16,Peru,Denmark,0,1,World Cup,1
2018-06-17,Germany,Mexico,0,1,World Cup,1
2018-06-17,Brazil,Switzerland,1,1,World Cup,1
2018-06-18,England,Tunisia,2,1,World Cup,1
2018-06-18,Belgium,Panama,3,0,World Cup,1
2018-06-19,Poland,Senegal,1,2,World Cup,1
2018-06-19,Russia,Egypt,3,1,World Cup,1
2018-06-30,France,Argentina,4,3,World Cup,1
2018-06-30,Uruguay,Portugal,2,1,World Cup,1
2018-07-01,Spain,Russia,1,1,World Cup,1
2018-07-01,Croatia,Denmark,1,1,World Cup,1
2018-07-02,Brazil,Mexico,2,0,World Cup,1
2018-07-02,Belgium,Japan,3,2,World Cup,1
2018-07-03,Sweden,Switzerland,1,0,World Cup,1
2018-07-03,Colombia,England,1,1,World Cup,1
2018-07-06,Uruguay,France,0,2,World Cup,1
2018-07-06,Brazil,Belgium,1,2,World Cup,1
2018-07-07,Sweden,England,0,2,World Cup,1
2018-07-07,Russia,Croatia,2,2,World Cup,1
2018-07-10,France,Belgium,1,0,World Cup,1
2018-07-11,Croatia,England,2,1,World Cup,1
2018-07-15,France,Croatia,4,2,World Cup,1
2022-11-20,Qatar,Ecuador,0,2,World Cup,1
2022-11-21,England,Iran,6,2,World Cup,1
2022-11-21,Senegal,Netherlands,0,2,World Cup,1
2022-11-21,United States,Wales,1,1,World Cup,1
2022-11-22,Argentina,Saudi Arabia,1,2,World Cup,1
2022-11-22,Denmark,Tunisia,0,0,World Cup,1
2022-11-22,Mexico,Poland,0,0,World Cup,1
2022-11-22,France,Australia,4,1,World Cup,1
2022-11-23,Germany,Japan,1,2,World Cup,1
2022-11-23,Spain,Costa Rica,7,0,World Cup,1
2022-11-23,Belgium,Canada,1,0,World Cup,1
2022-11-24,Brazil,Serbia,2,0,World Cup,1
2022-11-24,Portugal,Ghana,3,2,World Cup,1
2022-11-24,Uruguay,South Korea,0,0,World Cup,1
2022-11-25,Switzerland,Cameroon,1,0,World Cup,1
2022-11-25,Wales,Iran,0,2,World Cup,1
2022-11-25,Netherlands,Ecuador,1,1,World Cup,1
2022-11-25,England,United States,0,0,World Cup,1
2022-12-03,Netherlands,United States,3,1,World Cup,1
2022-12-03,Argentina,Australia,2,1,World Cup,1
2022-12-04,France,Poland,3,1,World Cup,1
2022-12-04,England,Senegal,3,0,World Cup,1
2022-12-05,Japan,Croatia,1,1,World Cup,1
2022-12-05,Brazil,South Korea,4,1,World Cup,1
2022-12-06,Morocco,Spain,0,0,World Cup,1
2022-12-06,Portugal,Switzerland,6,1,World Cup,1
2022-12-09,Croatia,Brazil,1,1,World Cup,1
2022-12-09,Netherlands,Argentina,2,2,World Cup,1
2022-12-10,Morocco,Portugal,1,0,World Cup,1
2022-12-10,England,France,1,2,World Cup,1
2022-12-13,Argentina,Croatia,3,0,World Cup,1
2022-12-14,France,Morocco,2,0,World Cup,1
2022-12-18,Argentina,France,3,3,World Cup,1
2023-03-23,Argentina,Panama,2,0,International,0
2023-03-24,France,Netherlands,4,0,International,0
2023-03-25,England,Ukraine,2,0,International,0
2023-03-26,Spain,Norway,3,0,International,0
2023-03-28,Brazil,Tunisia,1,0,International,0
2023-06-16,Argentina,Australia,2,0,International,0
2023-06-20,Spain,Croatia,2,2,International,0
2023-09-08,Germany,Japan,2,1,International,0
2023-09-09,France,Australia,2,1,International,0
2023-09-12,England,Scotland,3,1,International,0
2023-10-12,France,Netherlands,2,1,International,0
2023-10-14,England,Australia,1,0,International,0
2023-11-16,Brazil,Colombia,1,2,International,0
2023-11-18,Argentina,Uruguay,0,2,International,0
2024-03-22,England,Belgium,2,2,International,0
2024-03-23,France,Germany,0,2,International,0
2024-03-26,Spain,Brazil,3,3,International,0
2024-06-14,Germany,Scotland,5,1,Euro,1
2024-06-14,Spain,Croatia,3,0,Euro,1
2024-06-15,France,Austria,1,0,Euro,1
2024-06-15,England,Serbia,1,0,Euro,1
2024-06-16,Netherlands,Poland,2,1,Euro,1
2024-06-16,Portugal,Czech Republic,2,1,Euro,1
2024-06-17,Belgium,Slovakia,0,1,Euro,1
2024-06-29,Switzerland,Italy,2,0,Euro,1
2024-06-29,Germany,Denmark,2,0,Euro,1
2024-06-30,England,Slovakia,2,1,Euro,1
2024-06-30,Spain,Georgia,4,1,Euro,1
2024-07-01,France,Belgium,1,0,Euro,1
2024-07-01,Portugal,Slovenia,0,0,Euro,1
2024-07-02,Netherlands,Romania,3,0,Euro,1
2024-07-02,Austria,Turkey,1,2,Euro,1
2024-07-05,Spain,Germany,2,1,Euro,1
2024-07-05,Portugal,France,0,0,Euro,1
2024-07-06,England,Switzerland,1,1,Euro,1
2024-07-06,Netherlands,Turkey,2,1,Euro,1
2024-07-09,Spain,France,2,1,Euro,1
2024-07-10,Netherlands,England,1,2,Euro,1
2024-07-14,Spain,England,2,1,Euro,1
2024-09-06,Brazil,Ecuador,1,0,International,0
2024-09-10,Argentina,Chile,3,0,International,0
2024-10-10,France,Israel,4,1,International,0
2024-10-11,England,Greece,1,2,International,0
2024-11-14,France,Israel,0,0,International,0
2024-11-15,Brazil,Venezuela,1,1,International,0
2025-03-20,France,Croatia,2,0,International,0
2025-03-21,England,Albania,2,0,International,0
2025-03-22,Germany,Italy,3,3,International,0
2025-03-23,Spain,Netherlands,2,2,International,0
2025-03-25,Argentina,Brazil,4,1,International,0
2025-06-10,Portugal,Spain,2,2,Nations League,1
2025-06-11,Germany,France,0,2,Nations League,1
2025-06-12,Netherlands,England,1,3,Nations League,1
